0;0
1;0
2;0
3;3
4;2
5;3
6;7
7;16
8;12
9;17
10;24
11;36
12;51
13;58
14;82
15;116
16;126
17;153
18;213
19;263
20;497
21;858
22;505
23;609
24;667
25;802
26;649
27;709
28;755
29;877
30;977
31;1161
32;1148
33;1165
34;1012
35;951
36;934
37;971
38;1099
39;1339
40;1266
41;1429
42;1715
43;2304
44;2558
45;2658
46;2824
47;3460
48;3189
49;3781
50;3559
51;4657
52;4415
53;5856
54;4525
55;4286
56;5411
57;4677
58;5320
59;5700
60;5709
61;7795
62;5727
63;7788
64;7797
65;5357
66;12291
67;7336
68;5041
69;6549
70;5317
71;8698
72;6751
73;6003
74;6065
75;6087
76;5895
77;5603
78;6037
79;5835
80;5736
81;6478
82;5420
83;5480
84;5554
85;5237
86;5271
87;4531
88;4619
89;4179
90;6865
91;6775
92;19104
93;22414
94;17149
95;6107
96;7585
97;11206
98;13813
99;14371
100;13018
101;9425
102;8264
103;11896
104;7344
105;4463
106;7276
107;4955
108;9308
109;9632
110;5131
111;5987
112;6953
113;8326
114;6187
115;5700
116;4437
117;5193
118;4941
119;3805
120;4169
121;3716
122;3293
123;3653
124;4629
125;4340
126;4156
127;4034
128;4434
129;5132
130;5529
131;5221
132;4823
133;5209
134;6135
135;6309
136;6271
137;6215
138;6260
139;4610
140;4850
141;8566
142;4154
143;4830
144;5509
145;4417
146;4654
147;5535
148;8079
149;5410
150;4465
151;4181
152;4726
153;5788
154;6467
155;7786
156;5471
157;5560
158;4967
159;5712
160;7601
161;8734
162;5208
163;4406
164;3814
165;3160
166;3264
167;3323
168;3817
169;3491
170;2710
171;3101
172;3261
173;3773
174;3435
175;4229
176;4346
177;4188
178;4811
179;4403
180;5420
181;4110
182;4212
183;3818
184;3540
185;3489
186;3614
187;3562
188;3732
189;3701
190;4041
191;4258
192;4648
193;5207
194;6870
195;5200
196;6659
197;5607
198;9617
199;6059
200;7351
201;6019
202;5753
203;6294
204;6190
205;6635
206;8493
207;5780
208;6770
209;6667
210;8125
211;9008
212;6818
213;8019
214;7077
215;7962
216;9536
217;8985
218;10225
219;8010
220;8504
221;9116
222;7111
223;11463
224;7096
225;10455
226;7905
227;8782
228;9816
229;8212
230;9544
231;9697
232;8138
233;11714
234;8884
235;8724
236;14631
237;6943
238;11989
239;6707
240;11958
241;13760
242;5731
243;10147
244;15577
245;6506
246;10066
247;5150
248;12878
249;24311
250;5029
251;29289
252;16292
253;149
254;24
255;8
